Title,id,Samling,Nr,Titel,Dato,Date,doc_id,Name,Year,Parti,Period,.groups
Peter Seier Christensen,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:06:00Z,3028,Peter Seier Christensen,2020,x - Nye Borgerlige,2019-,51
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:07:00Z,3029,Anders Kronborg,2020,Socialdemokratiet,2019-,51
Søren Pape Poulsen,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T22:35:00Z,303,Søren Pape Poulsen,2020,Det Konservative Folkeparti,2019-,51
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:08:00Z,3030,Trine Torp,2020,Socialistisk Folkeparti,2019-,51
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:09:00Z,3031,Anders Kronborg,2020,Socialdemokratiet,2019-,51
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:09:00Z,3032,Trine Torp,2020,Socialistisk Folkeparti,2019-,52
Peter Seier Christensen,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:09:00Z,3033,Peter Seier Christensen,2020,x - Nye Borgerlige,2019-,52
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:10:00Z,3034,Trine Torp,2020,Socialistisk Folkeparti,2019-,52
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:10:00Z,3035,Anders Kronborg,2020,Socialdemokratiet,2019-,52
Jacob Mark,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T11:15:00Z,3036,Jacob Mark,2020,Socialistisk Folkeparti,2019-,52
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:10:00Z,3037,Trine Torp,2020,Socialistisk Folkeparti,2019-,52
